translation_id,key,lang_code,text
93,please_speak_slowly,en,Please speak slowly
94,please_speak_slowly,zh,请说慢一点
95,please_speak_slowly,vi,Làm ơn nói chậm lại
96,please_speak_slowly,id,Tolong bicara pelan-pelan
97,goodbye,en,Goodbye
98,goodbye,zh,再见
99,goodbye,vi,Tạm biệt
100,goodbye,id,Selamat tinggal
101,yoga,en,Yoga
102,yoga,zh,瑜伽
103,yoga,vi,Yoga
104,yoga,id,Yoga
105,tai_chi,en,Tai Chi
106,tai_chi,zh,太极
107,tai_chi,vi,Thái Cực Quyền
108,tai_chi,id,Tai Chi
109,table_tennis,en,Table tennis
110,table_tennis,zh,乒乓球
111,table_tennis,vi,Bóng bàn
112,table_tennis,id,Tenis meja
113,badminton,en,Badminton
114,badminton,zh,羽毛球
115,badminton,vi,Cầu lông
116,badminton,id,Bulu tangkis
117,walking,en,Walking
118,walking,zh,散步
119,walking,vi,Đi bộ
120,walking,id,Jalan kaki
121,dancing,en,Dancing
122,dancing,zh,跳舞
123,dancing,vi,Khiêu vũ
124,dancing,id,Menari
125,singing,en,Singing
126,singing,zh,唱歌
127,singing,vi,Hát
128,singing,id,Bernyanyi
129,playing_chess,en,Playing chess
130,playing_chess,zh,下棋
131,playing_chess,vi,Chơi cờ
132,playing_chess,id,Bermain catur
133,reading,en,Reading
134,reading,zh,阅读
135,reading,vi,Đọc sách
136,reading,id,Membaca
137,watching_tv,en,Watching TV
138,watching_tv,zh,看电视
139,watching_tv,vi,Xem TV
140,watching_tv,id,Menonton TV
141,gardening,en,Gardening
142,gardening,zh,园艺
143,gardening,vi,Làm vườn
144,gardening,id,Berkebun
145,cooking,en,Cooking
146,cooking,zh,做饭
147,cooking,vi,Nấu ăn
148,cooking,id,Memasak
149,shopping,en,Shopping
150,shopping,zh,购物
151,shopping,vi,Mua sắm
152,shopping,id,Belanja
153,exercise,en,Exercise
154,exercise,zh,锻炼
155,exercise,vi,Tập thể dục
156,exercise,id,Olahraga
157,swimming,en,Swimming
158,swimming,zh,游泳
159,swimming,vi,Bơi lội
160,swimming,id,Berenang
161,playing_cards,en,Playing cards
162,playing_cards,zh,打牌
163,playing_cards,vi,Chơi bài
164,playing_cards,id,Bermain kartu
165,listening_to_music,en,Listening to music
166,listening_to_music,zh,听音乐
167,listening_to_music,vi,Nghe nhạc
168,listening_to_music,id,Mendengarkan musik
169,painting,en,Painting
170,painting,zh,画画
171,painting,vi,Vẽ tranh
172,painting,id,Melukis
173,drinking_tea,en,Drinking tea
174,drinking_tea,zh,喝茶
175,drinking_tea,vi,Uống trà
176,drinking_tea,id,Minum teh
177,visiting_friends,en,Visiting friends
178,visiting_friends,zh,拜访朋友
179,visiting_friends,vi,Thăm bạn bè
180,visiting_friends,id,Mengunjungi teman
181,i_need_a_doctor,en,I need a doctor
182,i_need_a_doctor,zh,我需要医生
183,i_need_a_doctor,vi,Tôi cần bác sĩ
184,i_need_a_doctor,id,Saya perlu dokter
185,i_feel_sick,en,I feel sick
186,i_feel_sick,zh,我感觉不舒服
187,i_feel_sick,vi,Tôi thấy không khỏe
188,i_feel_sick,id,Saya merasa sakit
189,i_have_a_headache,en,I have a headache
190,i_have_a_headache,zh,我头疼
191,i_have_a_headache,vi,Tôi bị đau đầu
192,i_have_a_headache,id,Saya sakit kepala
193,i_have_a_fever,en,I have a fever
194,i_have_a_fever,zh,我发烧
195,i_have_a_fever,vi,Tôi bị sốt
196,i_have_a_fever,id,Saya demam
197,i_have_chest_pain,en,I have chest pain
198,i_have_chest_pain,zh,我胸口痛
199,i_have_chest_pain,vi,Tôi bị đau ngực
200,i_have_chest_pain,id,Saya sakit dada
201,i_feel_dizzy,en,I feel dizzy
202,i_feel_dizzy,zh,我头晕
203,i_feel_dizzy,vi,Tôi bị chóng mặt
204,i_feel_dizzy,id,Saya pusing
205,i_have_diabetes,en,I have diabetes
206,i_have_diabetes,zh,我有糖尿病
207,i_have_diabetes,vi,Tôi bị tiểu đường
208,i_have_diabetes,id,Saya punya diabetes
209,i_need_medicine,en,I need medicine
210,i_need_medicine,zh,我需要药
211,i_need_medicine,vi,Tôi cần thuốc
212,i_need_medicine,id,Saya butuh obat
213,call_an_ambulance,en,Call an ambulance!
214,call_an_ambulance,zh,叫救护车！
215,call_an_ambulance,vi,Gọi xe cấp cứu!
216,call_an_ambulance,id,Panggil ambulans!
217,where_is_the_hospital,en,Where is the hospital?
218,where_is_the_hospital,zh,医院在哪里？
219,where_is_the_hospital,vi,Bệnh viện ở đâu?
220,where_is_the_hospital,id,Rumah sakit di mana?
221,head,en,Head
222,head,zh,头
223,head,vi,Đầu
224,head,id,Kepala
225,eye,en,Eye
226,eye,zh,眼睛
227,eye,vi,Mắt
228,eye,id,Mata
229,ear,en,Ear
230,ear,zh,耳朵
231,ear,vi,Tai
232,ear,id,Telinga
233,nose,en,Nose
234,nose,zh,鼻子
235,nose,vi,Mũi
236,nose,id,Hidung
237,mouth,en,Mouth
238,mouth,zh,嘴
239,mouth,vi,Miệng
240,mouth,id,Mulut
241,stomach,en,Stomach
242,stomach,zh,胃/肚子
243,stomach,vi,Dạ dày
244,stomach,id,Perut
245,back,en,Back
246,back,zh,背
247,back,vi,Lưng
248,back,id,Punggung
249,arm,en,Arm
250,arm,zh,胳膊
251,arm,vi,Cánh tay
252,arm,id,Lengan
253,leg,en,Leg
254,leg,zh,腿
255,leg,vi,Chân
256,leg,id,Kaki
257,foot,en,Foot
258,foot,zh,脚
259,foot,vi,Bàn chân
260,foot,id,Kaki
261,help,en,Help!
262,help,zh,救命！
263,help,vi,Cứu với!
264,help,id,Tolong!
265,call_the_police,en,Call the police!
266,call_the_police,zh,报警！
267,call_the_police,vi,Gọi cảnh sát!
268,call_the_police,id,Panggil polisi!
269,i_lost_my_wallet,en,I lost my wallet
270,i_lost_my_wallet,zh,我钱包丢了
271,i_lost_my_wallet,vi,Tôi mất ví
272,i_lost_my_wallet,id,Dompet saya hilang
273,i_lost_my_phone,en,I lost my phone
274,i_lost_my_phone,zh,我手机丢了
275,i_lost_my_phone,vi,Tôi mất điện thoại
276,i_lost_my_phone,id,HP saya hilang
277,my_bag_was_stolen,en,My bag was stolen
278,my_bag_was_stolen,zh,我的包被偷了
279,my_bag_was_stolen,vi,Túi của tôi bị mất trộm
280,my_bag_was_stolen,id,Tas saya dicuri
281,where_is_the_police_station,en,Where is the police station?
282,where_is_the_police_station,zh,警察局在哪里？
283,where_is_the_police_station,vi,Đồn cảnh sát ở đâu?
284,where_is_the_police_station,id,Kantor polisi di mana?
285,i_don’t_feel_safe,en,I don’t feel safe
286,i_don’t_feel_safe,zh,我感觉不安全
287,i_don’t_feel_safe,vi,Tôi cảm thấy không an toàn
288,i_don’t_feel_safe,id,Saya merasa tidak aman
289,please_write_it_down,en,Please write it down
290,please_write_it_down,zh,请写下来
291,please_write_it_down,vi,Làm ơn viết ra
292,please_write_it_down,id,Tolong tulis
293,i_need_a_translator,en,I need a translator
294,i_need_a_translator,zh,我需要翻译
295,i_need_a_translator,vi,Tôi cần người phiên dịch
296,i_need_a_translator,id,Saya butuh penerjemah
297,can_you_call_my_family,en,Can you call my family?
298,can_you_call_my_family,zh,你能帮我联系家人吗？
299,can_you_call_my_family,vi,Bạn có thể gọi cho gia đình tôi không?
300,can_you_call_my_family,id,Bisa hubungi keluarga saya?
301,how_much_is_this,en,How much is this?
302,how_much_is_this,zh,这个多少钱？
303,how_much_is_this,vi,Cái này bao nhiêu tiền?
304,how_much_is_this,id,Berapa harganya?
305,it’s_too_expensive,en,It’s too expensive
306,it’s_too_expensive,zh,太贵了
307,it’s_too_expensive,vi,Đắt quá
308,it’s_too_expensive,id,Terlalu mahal
309,can_you_give_me_a_discount,en,Can you give me a discount?
310,can_you_give_me_a_discount,zh,可以便宜一点吗？
311,can_you_give_me_a_discount,vi,Có thể giảm giá không?
312,can_you_give_me_a_discount,id,Bisa diskon?
313,i_want_this_one,en,I want this one
314,i_want_this_one,zh,我要这个
315,i_want_this_one,vi,Tôi muốn cái này
316,i_want_this_one,id,Saya mau yang ini
317,do_you_have_another_size,en,Do you have another size?
318,do_you_have_another_size,zh,有别的尺寸吗？
319,do_you_have_another_size,vi,Có kích cỡ khác không?
320,do_you_have_another_size,id,Ada ukuran lain?
321,small,en,Small
322,small,zh,小号
323,small,vi,Nhỏ
324,small,id,Kecil
325,medium,en,Medium
326,medium,zh,中号
327,medium,vi,Vừa
328,medium,id,Sedang
329,large,en,Large
330,large,zh,大号
331,large,vi,Lớn
332,large,id,Besar
333,cash,en,Cash
334,cash,zh,现金
335,cash,vi,Tiền mặt
336,cash,id,Tunai
337,credit_card,en,Credit card
338,credit_card,zh,信用卡
339,credit_card,vi,Thẻ tín dụng
340,credit_card,id,Kartu kredit
341,receipt,en,Receipt
342,receipt,zh,收据
343,receipt,vi,Hóa đơn
344,receipt,id,Struk
345,bag,en,Bag
346,bag,zh,袋子
347,bag,vi,Túi
348,bag,id,Tas
349,where_is_the_supermarket,en,Where is the supermarket?
350,where_is_the_supermarket,zh,超市在哪里？
351,where_is_the_supermarket,vi,Siêu thị ở đâu?
352,where_is_the_supermarket,id,Supermarket di mana?
353,bread,en,Bread
354,bread,zh,面包
355,bread,vi,Bánh mì
356,bread,id,Roti
357,rice,en,Rice
358,rice,zh,米饭
359,rice,vi,Cơm
360,rice,id,Nasi
361,milk,en,Milk
362,milk,zh,牛奶
363,milk,vi,Sữa
364,milk,id,Susu
365,water,en,Water
366,water,zh,水
367,water,vi,Nước
368,water,id,Air
369,vegetables,en,Vegetables
370,vegetables,zh,蔬菜
371,vegetables,vi,Rau
372,vegetables,id,Sayur
373,fruit,en,Fruit
374,fruit,zh,水果
375,fruit,vi,Trái cây
376,fruit,id,Buah
377,meat,en,Meat
378,meat,zh,肉
379,meat,vi,Thịt
380,meat,id,Daging
381,fish,en,Fish
382,fish,zh,鱼
383,fish,vi,Cá
384,fish,id,Ikan
385,egg,en,Egg
386,egg,zh,鸡蛋
387,egg,vi,Trứng
388,egg,id,Telur
389,salt,en,Salt
390,salt,zh,盐
391,salt,vi,Muối
392,salt,id,Garam
393,sugar,en,Sugar
394,sugar,zh,糖
395,sugar,vi,Đường
396,sugar,id,Gula
397,toilet_paper,en,Toilet paper
398,toilet_paper,zh,卫生纸
399,toilet_paper,vi,Giấy vệ sinh
400,toilet_paper,id,Tisu toilet
